파일명,사고장소특징_ID,A진행방향_ID,B진행방향_ID,사고장소,사고장소특징,A진행방향,B진행방향
bb_1_000102_vehicle_192_023.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_130509_vehicle_244_21273.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_130903_vehicle_195_018.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_130918_vehicle_108_047.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_131205_vehicle_47_191.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_140904_vehicle_113_085.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_150128_vehicle_129_224.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_150224_vehicle_21_256.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_151207_vehicle_147_009.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_160501_vehicle_220_24883.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_160504_vehicle_46_197.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_161002_vehicle_248_20609.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_161111_vehicle_46_196.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_180317_vehicle_240_25121.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_180424_vehicle_111_087.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_190206_vehicle_089_532501.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_190809_vehicle_114_116.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_200727_vehicle_241_30961.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_200908_vehicle_250_25448.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_210128_vehicle_258_47101.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_210524_vehicle_243_21122.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_210630_vehicle_314_201.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_3_160923_vehicle_131_118.json,10,4,45,T자형 교차로,동일폭 도로,직진,우회전
bb_1_070910_vehicle_39_001.json,11,36,36,사거리교차로(신호 등 없음),대로와 소로,소로에서 좌회전,대로에서 좌회전
bb_1_070910_vehicle_39_001.json,11,36,36,T자형 교차로,대로와 소로,소로에서 좌회전,대로에서 좌회전
bb_1_070910_vehicle_39_001.json,11,36,36,T자형 교차로,대로와 소로,대로에서 좌회전,소로에서 좌회전
bb_1_110819_vehicle_27_010.json,10,19,22,사거리교차로(신호 등 없음),동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_110819_vehicle_27_010.json,10,19,22,T자형 교차로,동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_140921_vehicle_39_111.json,10,19,22,사거리교차로(신호 등 없음),동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_140921_vehicle_39_111.json,10,19,22,T자형 교차로,동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_141031_vehicle_41_076.json,10,19,22,사거리교차로(신호 등 없음),동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_141031_vehicle_41_076.json,10,19,22,T자형 교차로,동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_141129_vehicle_37_094.json,10,19,22,사거리교차로(신호 등 없음),동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_141129_vehicle_37_094.json,10,19,22,T자형 교차로,동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_150316_vehicle_108_226.json,10,19,22,사거리교차로(신호 등 없음),동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_150316_vehicle_108_226.json,10,19,22,T자형 교차로,동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
bb_1_150729_vehicle_36_200.json,10,19,22,사거리교차로(신호 등 없음),동일폭 도로,왼쪽 도로에서 직진,오른쪽 도로에서 좌회전
